alpha_id,formula,fields,group,lookback_days,delay_adaptation,formula_hash,formula_status,semantic_adaptations,semantics_version,adv_basis,evaluation_status,execution_status,strict_pit_status
69,"((rank(ts_max(delta(IndNeutralize(vwap, IndClass.industry), 2.72412), 4.79344))^Ts_Rank(correlation(((close * 0.490655) + (vwap * (1 - 0.490655))), adv20, 4.92416), 9.0615)) * -1)","[""amount"", ""close"", ""indclass.industry"", ""vwap""]",industry,31,next_session,179cbc7e0351dee4e04ff35d4d8bf7197f187083555406a51f450023db20def6,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
70,"((rank(delta(vwap, 1.29456))^Ts_Rank(correlation(IndNeutralize(close, IndClass.industry), adv50, 17.8256), 17.9171)) * -1)","[""amount"", ""close"", ""indclass.industry"", ""vwap""]",industry,82,next_session,42fee94c46fb4d82fa8af3734ad183ab732f4ef0c00eb4d1131137318558b83c,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
71,"max(Ts_Rank(decay_linear(correlation(Ts_Rank(close, 3.43976), Ts_Rank(adv180, 12.0647), 18.0175), 4.20501), 15.6948), Ts_Rank(decay_linear((rank(((low + open) - (vwap + vwap)))^2), 16.4662), 4.4388))","[""amount"", ""close"", ""low"", ""open"", ""vwap""]",price_volume,225,next_session,03f3469db704e686bddb3c2b1da4e05b9d8caf71dcb0abe5ed43b73ba2e5d39d,IMPLEMENTED_UNQUALIFIED,"[""panel_minmax_elementwise""]",alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
72,"(rank(decay_linear(correlation(((high + low) / 2), adv40, 8.93345), 10.1519)) / rank(decay_linear(correlation(Ts_Rank(vwap, 3.72469), Ts_Rank(volume, 18.5188), 6.86671), 2.95011)))","[""amount"", ""high"", ""low"", ""volume"", ""vwap""]",price_volume,56,next_session,836b6f66d39b72a4e1fb2105d5e6d0783c58bfc3b73b9a5768ef64de8816529f,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
73,"(max(rank(decay_linear(delta(vwap, 4.72775), 2.91864)), Ts_Rank(decay_linear(((delta(((open * 0.147155) + (low * (1 - 0.147155))), 2.03608) / ((open * 0.147155) + (low * (1 - 0.147155)))) * -1), 3.33829), 16.7411)) * -1)","[""low"", ""open"", ""vwap""]",price_volume,20,next_session,2945b30ac6e542f10c6a9a9f0c449d58cd835c75219498d76c16136abfadbc5d,IMPLEMENTED_UNQUALIFIED,"[""panel_minmax_elementwise""]",alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
74,"((rank(correlation(close, sum(adv30, 37.4843), 15.1365)) < rank(correlation(rank(((high * 0.0261661) + (vwap * (1 - 0.0261661)))), rank(volume), 11.4791))) * -1)","[""amount"", ""close"", ""high"", ""volume"", ""vwap""]",price_volume,80,next_session,57dd94f3127cf34326ef80b1c6ac97b86da7a8f9f5c7b762a6d195413b25c54a,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
75,"(rank(correlation(vwap, volume, 4.24304)) < rank(correlation(rank(low), rank(adv50), 12.4413)))","[""amount"", ""low"", ""volume"", ""vwap""]",price_volume,61,next_session,c0ac2b1b5afac9ab539c8466b909010903fbe261bfdbc27a487f08edf7b6fdb1,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
76,"(max(rank(decay_linear(delta(vwap, 1.24383), 11.8259)), Ts_Rank(decay_linear(Ts_Rank(correlation(IndNeutralize(low, IndClass.sector), adv81, 8.14941), 19.569), 17.1543), 19.383)) * -1)","[""amount"", ""indclass.sector"", ""low"", ""vwap""]",industry,140,next_session,1e72aa407db893ca169287bc1d5ef0dda0bbef91810e174c604c9fbe9f29876c,IMPLEMENTED_UNQUALIFIED,"[""panel_minmax_elementwise""]",alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
77,"min(rank(decay_linear(((((high + low) / 2) + high) - (vwap + high)), 20.0451)), rank(decay_linear(correlation(((high + low) / 2), adv40, 3.1614), 5.64125)))","[""amount"", ""high"", ""low"", ""vwap""]",price_volume,46,next_session,b6de1028081991a72d04e34f0e65efe8f9986d1551f1dbbcd161fa24a459d233,IMPLEMENTED_UNQUALIFIED,"[""panel_minmax_elementwise""]",alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
78,"(rank(correlation(sum(((low * 0.352233) + (vwap * (1 - 0.352233))), 19.7428), sum(adv40, 19.7428), 6.83313))^rank(correlation(rank(vwap), rank(volume), 5.77492)))","[""amount"", ""low"", ""volume"", ""vwap""]",price_volume,63,next_session,6982876c43a07c62df8248b192d17782bb127b3f6e31e22d7d4586dbd1cb97b0,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
79,"(rank(delta(IndNeutralize(((close * 0.60733) + (open * (1 - 0.60733))), IndClass.sector), 1.23438)) < rank(correlation(Ts_Rank(vwap, 3.60973), Ts_Rank(adv150, 9.18637), 14.6644)))","[""amount"", ""close"", ""indclass.sector"", ""open"", ""vwap""]",industry,171,next_session,85cff7490d50126143cf66a4534d0ecae86b39323ff7b15288efd8873efeb3a5,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
80,"((rank(Sign(delta(IndNeutralize(((open * 0.868128) + (high * (1 - 0.868128))), IndClass.industry), 4.04545)))^Ts_Rank(correlation(high, adv10, 5.11456), 5.53756)) * -1)","[""amount"", ""high"", ""indclass.industry"", ""open""]",industry,18,next_session,ae8a476ecac8bb9daff6f68ebad6a848a66d2a812b415ac4636f973055e198c3,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
81,"((rank(Log(product(rank((rank(correlation(vwap, sum(adv10, 49.6054), 8.47743))^4)), 14.9655))) < rank(correlation(rank(vwap), rank(volume), 5.07914))) * -1)","[""amount"", ""volume"", ""vwap""]",price_volume,78,next_session,c4c119cb1ff3ff3e7de9c8438aaa38e36aa6f0707887d1c4b092595f0a63f3bd,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
82,"(min(rank(decay_linear(delta(open, 1.46063), 14.8717)), Ts_Rank(decay_linear(correlation(IndNeutralize(volume, IndClass.sector), ((open * 0.634196) + (open * (1 - 0.634196))), 17.4842), 6.92131), 13.4283)) * -1)","[""indclass.sector"", ""open"", ""volume""]",industry,34,next_session,9d17576c3c705da8758af5c85e4949b370d46a3aac54aa8ed450893928ce06c8,IMPLEMENTED_UNQUALIFIED,"[""panel_minmax_elementwise""]",alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
83,"((rank(delay(((high - low) / (sum(close, 5) / 5)), 2)) * rank(rank(volume))) / (((high - low) / (sum(close, 5) / 5)) / (vwap - close)))","[""close"", ""high"", ""low"", ""volume"", ""vwap""]",price_volume,7,next_session,bdd8c026c422222eaca434fcdf83adb6260490bc7113066ece033095167ab240,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
84,"SignedPower(Ts_Rank((vwap - ts_max(vwap, 15.3217)), 20.7127), delta(close, 4.96796))","[""close"", ""vwap""]",price_volume,34,next_session,91a3167057dc2ea6fd257d66bde302efe5e2337586dbfb79d3849054aed2bc98,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
85,"(rank(correlation(((high * 0.876703) + (close * (1 - 0.876703))), adv30, 9.61331))^rank(correlation(Ts_Rank(((high + low) / 2), 3.70596), Ts_Rank(volume, 10.1595), 7.11408)))","[""amount"", ""close"", ""high"", ""low"", ""volume""]",price_volume,38,next_session,a00830d5d3e74fc4d701f095bd44d187f116842c2ed736b8d8cdacf73f126bc9,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
86,"((Ts_Rank(correlation(close, sum(adv20, 14.7444), 6.00049), 20.4195) < rank(((open + close) - (vwap + open)))) * -1)","[""amount"", ""close"", ""open"", ""vwap""]",price_volume,57,next_session,d0313d5b349024725b2ee63cbd96a1c2540ffa42edd9a30b3268b0e4ea61af1e,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
87,"(max(rank(decay_linear(delta(((close * 0.369701) + (vwap * (1 - 0.369701))), 1.91233), 2.65461)), Ts_Rank(decay_linear(abs(correlation(IndNeutralize(adv81, IndClass.industry), close, 13.4132)), 4.89768), 14.4535)) * -1)","[""amount"", ""close"", ""indclass.industry"", ""vwap""]",industry,109,next_session,a98016d29c3836e0e1875fc90f114e4bc45af1761e3fdd2f58bce5c22136578c,IMPLEMENTED_UNQUALIFIED,"[""panel_minmax_elementwise""]",alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
88,"min(rank(decay_linear(((rank(open) + rank(low)) - (rank(high) + rank(close))), 8.06882)), Ts_Rank(decay_linear(correlation(Ts_Rank(close, 8.44728), Ts_Rank(adv60, 20.6966), 8.01266), 6.65053), 2.61957))","[""amount"", ""close"", ""high"", ""low"", ""open""]",price_volume,92,next_session,39170daa2047416bc2cb3545aeef7355babb1dc809f8c6273d13fac0cf34a15b,IMPLEMENTED_UNQUALIFIED,"[""panel_minmax_elementwise""]",alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
89,"(Ts_Rank(decay_linear(correlation(((low * 0.967285) + (low * (1 - 0.967285))), adv10, 6.94279), 5.51607), 3.79744) - Ts_Rank(decay_linear(delta(IndNeutralize(vwap, IndClass.industry), 3.48158), 10.1466), 15.3012))","[""amount"", ""indclass.industry"", ""low"", ""vwap""]",industry,27,next_session,06fa2c862985ff529afa0c604df89b3e65e3de008775e5d24b431bc98a819d67,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
90,"((rank((close - ts_max(close, 4.66719)))^Ts_Rank(correlation(IndNeutralize(adv40, IndClass.subindustry), low, 5.38375), 3.21856)) * -1)","[""amount"", ""close"", ""indclass.subindustry"", ""low""]",industry,46,next_session,8ac60549eaacb8c0e0a9b8646688d23a92e24969b5ed450f743a22a36b38517e,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
91,"((Ts_Rank(decay_linear(decay_linear(correlation(IndNeutralize(close, IndClass.industry), volume, 9.74928), 16.398), 3.83219), 4.8667) - rank(decay_linear(correlation(vwap, adv30, 4.01303), 2.6809))) * -1)","[""amount"", ""close"", ""indclass.industry"", ""volume"", ""vwap""]",industry,34,next_session,c76bcbcd209d86c3bbd423d43621ccfc2443f4173b4c15c2a21cc271dc3a9c0c,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
92,"min(Ts_Rank(decay_linear(((((high + low) / 2) + close) < (low + open)), 14.7221), 18.8683), Ts_Rank(decay_linear(correlation(rank(low), rank(adv30), 7.58555), 6.94024), 6.80584))","[""amount"", ""close"", ""high"", ""low"", ""open""]",price_volume,46,next_session,eee574c9ee91092c1b420c293659e5a2f489eea27d731f20486751a78cdfe362,IMPLEMENTED_UNQUALIFIED,"[""panel_minmax_elementwise""]",alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
93,"(Ts_Rank(decay_linear(correlation(IndNeutralize(vwap, IndClass.industry), adv81, 17.4193), 19.848), 7.54455) / rank(decay_linear(delta(((close * 0.524434) + (vwap * (1 - 0.524434))), 2.77377), 16.2664)))","[""amount"", ""close"", ""indclass.industry"", ""vwap""]",industry,121,next_session,a1be1b7e29788ad24624d4e64546c9ba08512755bd142b45f5c51ce20a6a6805,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
94,"((rank((vwap - ts_min(vwap, 11.5783)))^Ts_Rank(correlation(Ts_Rank(vwap, 19.6462), Ts_Rank(adv60, 4.02992), 18.0926), 2.70756)) * -1)","[""amount"", ""vwap""]",price_volume,81,next_session,048b5c7acd727587f6ac2410942fe48b51c50d4f5fcb1668df25762395beb3d8,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
95,"(rank((open - ts_min(open, 12.4105))) < Ts_Rank((rank(correlation(sum(((high + low) / 2), 19.1351), sum(adv40, 19.1351), 12.8742))^5), 11.7584))","[""amount"", ""high"", ""low"", ""open""]",price_volume,79,next_session,56444b75a4eb81d59af1978ff13cf02909d4f5c45bda0a308c054be65502eeab,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
96,"(max(Ts_Rank(decay_linear(correlation(rank(vwap), rank(volume), 3.83878), 4.16783), 8.38151), Ts_Rank(decay_linear(Ts_ArgMax(correlation(Ts_Rank(close, 7.45404), Ts_Rank(adv60, 4.13242), 3.65459), 12.6556), 14.0365), 13.4143)) * -1)","[""amount"", ""close"", ""volume"", ""vwap""]",price_volume,101,next_session,be56ba0034abb5f3ee6e9eab460bb9f09b2892e5fb2dfcb182b03dc98f987c48,IMPLEMENTED_UNQUALIFIED,"[""panel_minmax_elementwise""]",alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
97,"((rank(decay_linear(delta(IndNeutralize(((low * 0.721001) + (vwap * (1 - 0.721001))), IndClass.industry), 3.3705), 20.4523)) - Ts_Rank(decay_linear(Ts_Rank(correlation(Ts_Rank(low, 7.87871), Ts_Rank(adv60, 17.255), 4.97547), 18.5925), 15.7152), 6.71659)) * -1)","[""amount"", ""indclass.industry"", ""low"", ""vwap""]",industry,115,next_session,7c1b03fcc384b9be6aa8f1d179c360bb5d2d1c9cb99ad34f75ab9a81ac85ffbe,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
98,"(rank(decay_linear(correlation(vwap, sum(adv5, 26.4719), 4.58418), 7.18088)) - rank(decay_linear(Ts_Rank(Ts_ArgMin(correlation(rank(open), rank(adv15), 20.8187), 8.62571), 6.95668), 8.07206)))","[""amount"", ""open"", ""vwap""]",price_volume,53,next_session,be84839671ee28f103ba325f8086ee7f6d3678febaa9cc277a6383d9e6e6ca60,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
99,"((rank(correlation(sum(((high + low) / 2), 19.8975), sum(adv60, 19.8975), 8.8136)) < rank(correlation(low, volume, 6.28259))) * -1)","[""amount"", ""high"", ""low"", ""volume""]",price_volume,85,next_session,0149f7a25659a65363a02aa1620bcf03e7e89312218786530fdb489687001f4a,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
100,"(0 - (1 * (((1.5 * scale(indneutralize(indneutralize(rank(((((close - low) - (high - close)) / (high - low)) * volume)), IndClass.subindustry), IndClass.subindustry))) - scale(indneutralize((correlation(close, rank(adv20), 5) - rank(ts_argmin(close, 30))), IndClass.subindustry))) * (volume / adv20))))","[""amount"", ""close"", ""high"", ""indclass.subindustry"", ""low"", ""volume""]",industry,30,next_session,e147be23904fe54a2f4d56986a1fd380bd4eef6e45addbce3802ec6d5d33e376,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
101,((close - open) / ((high - low) + .001)),"[""close"", ""high"", ""low"", ""open""]",price_volume,1,next_session,ba454f9af3817b45061a2f1f374b7ec70b9ed6ebe195950a591e5d77641bfb75,IMPLEMENTED_UNQUALIFIED,[],alpha101_research_v1,amount,NOT_ASSESSED,NOT_ASSESSED,NOT_ASSESSED
